taxon,kelp_fucoid_turf,littler_groups,new_cat,new_cat_simple1,new_cat_simple2,new_cat_simple3,funct_Sep2020,flag
Mastocarpus,red turf,thick leathery,red turf,red turf,turf,turf,turf,
Mastocarpus agardhii,red turf,thick leathery,red turf,red turf,turf,turf,turf,
Mastocarpus alaskensis,red turf,thick leathery,red turf,red turf,turf,turf,turf,
Mastocarpus intermedius,red turf,thick leathery,red turf,red turf,turf,turf,turf,
Mastocarpus latissimus,red turf,thick leathery,red turf,red turf,turf,turf,turf,
Mastocarpus pachenicus,red turf,thick leathery,red turf,red turf,turf,turf,turf,
Mastocarpus rigidus,red turf,thick leathery,red turf,red turf,turf,turf,turf,
Mastocarpus sp,red turf,thick leathery,red turf,red turf,turf,turf,turf,
Mastocarpus sp.,red turf,thick leathery,red turf,red turf,turf,turf,turf,
Mastocarpus spp,red turf,thick leathery,red turf,red turf,turf,turf,turf,
Unknown.red.blade,blade,thick leathery,red blade,blade,red blade,blade,blade,
Mazzaella cf. parksii,blade,thick leathery,red blade,blade,red blade,blade,turf,
Mazzaella cf. parvula,blade,thick leathery,red blade,blade,red blade,blade,turf,
Mazzaella latissimus,blade,thick leathery,red blade,blade,red blade,blade,blade,
Mazzaella oregona,blade,thick leathery,red blade,blade,red blade,blade,blade,
Mazzaella parksii,blade,thick leathery,red blade,blade,red blade,blade,turf,
Mazzaella parvula,blade,thick leathery,red blade,blade,red blade,blade,turf,
Mazzaella rigidus,blade,thick leathery,red blade,blade,red blade,blade,blade,
Mazzaella splendens,blade,thick leathery,red blade,blade,red blade,blade,blade,
Melanosiphon intestinalis,brown turf,sheet,brown turf,brown turf,turf,turf,turf,
Melobesia,crustose coralline,crustose,crustose coralline,crustose coralline,crustose coralline,crustose coralline,crust,
Melobesia mediocris,crustose coralline,crustose,crustose coralline,crustose coralline,crustose coralline,crustose coralline,crust,
Melobesia sp,crustose coralline,crustose,crustose coralline,crustose coralline,crustose coralline,crustose coralline,crust,
Mesophyllum vancouveriense,crustose coralline,crustose,crustose coralline,crustose coralline,crustose coralline,crustose coralline,crust,
Microcladia borealis,red turf,filament,red turf,red turf,turf,turf,thin_turf,
Monostroma grevillei,blade,sheet,green blade,blade,green blade,blade,blade,
Nemalion,red turf,NA,red turf,red turf,turf,turf,turf,
Nemalion helminthoides,red turf,NA,red turf,red turf,turf,turf,turf,
Neoagarum fimbriatum,Kelp,thick leathery,Kelp,Kelp,Kelp,Kelp,large_brown,
Neodilsea borealis,blade,thick leathery,red blade,blade,red blade,blade,blade,
Neodilsia borealis,blade,thick leathery,red blade,blade,red blade,blade,blade,
Neogastroclonium subarticulatum,red turf,finely branching,red turf,red turf,turf,turf,turf,
