taxon,taxon_corrected,kingdom,sessile,Life history
Pycnopodia,Pycnopodia helianthoides,Animal,motile,NA
Riterella pulchra,Riterella pulchra,Animal,sessile,NA
Sea stars,Sea star,Animal,motile,NA
"Barnacles, acorn",Semibalanus cariosus,Animal,sessile,NA
Semibalanus cariosus,Semibalanus cariosus,Animal,sessile,NA
Semibalanus sp.,Semibalanus cariosus,Animal,sessile,NA
Margarites or Calliostoma,Snail,Animal,motile,NA
Snail,Snail,Animal,motile,NA
Spirorbidae,Spirorbidae,Animal,sessile,NA
Spirorbis,Spirorbis,Animal,sessile,NA
Green urchin,Strongylocentrotus droebachiensis,Animal,motile,NA
Purple urchin,Strongylocentrotus purpuratus,Animal,sessile,NA
Purple Urchin,Strongylocentrotus purpuratus,Animal,motile,NA
Strongylocentrotus purpuratus,Strongylocentrotus purpuratus,Animal,motile,NA
Styela,Styela sp.,Animal,sessile,NA
Styella,Styela sp.,Animal,sessile,NA
Tegula,Tegula sp.,Animal,motile,NA
Tonicella lineata,Tonicella lineata,Animal,motile,NA
Tonicella,Tonicella sp.,Animal,motile,NA
Sandy worm tubes,Tube worms,Animal,sessile,NA
Tube worm,Tube worms,Animal,sessile,NA
Tube worms,Tube worms,Animal,sessile,NA
Tube worms small,Tube worms,Animal,sessile,NA
Encrusting tunicate,Tunicata,Animal,sessile,NA
Orange tunicate,Tunicata,Animal,sessile,NA
Stalked tunicate,Tunicata,Animal,sessile,NA
Tunicate,Tunicata,Animal,sessile,NA
Unknown peach tunicate,Tunicata,Animal,sessile,NA
Tunicate/Sponge,Tunicata/Porifera,Animal,sessile,NA
Pink Worm,Worm,Animal,motile,NA
Worm,Worm,Animal,motile,NA
Ceratostoma,Ceratostoma,Animal,motile,NA
Porifera,Porifera,Animal,sessile,NA
Shrimp,Shrimp,Animal,motile,NA
Nucella eggs,Nucella eggs,Animal,sessile,NA
Pugettia,Pugettia sp.,Animal?,motile,NA
Bare rock,bare rock,Substratum,NA,NA
Bare Rock,bare rock,Substratum,NA,NA
BARE ROCK,bare rock,Substratum,NA,NA
BARE ROCK / SUBSTRATE,bare rock,Substratum,NA,NA
BARE SAND,bare rock,Substratum,NA,NA
"Clam shell, dead",Clam shell,Substratum,NA,NA
Sand,Sand,Substratum,NA,NA
WOOD,Wood,Substratum,NA,NA
