taxon_corrected,taxon_revised,taxon_lumped,taxon_lumped2,taxon_lumped3,non.alga.flag,motile_sessile,Notes
Dilsea californica,Dilsea californica,Dilsea californica,Dilsea californica,Dilsea californica,Algae,sessile,
Ectocarpus commensalis,Ectocarpus commensalis,Ectocarpus commensalis,Ectocarpus commensalis,Ectocarpus commensalis,Algae,sessile,
Ectocarpus siliculosus,Ectocarpus siliculosus,Ectocarpus siliculosus,Ectocarpus siliculosus,Ectocarpus siliculosus,Algae,sessile,
Ectocarpus sp.,Ectocarpus sp.,Ectocarpus sp.,Ectocarpus sp.,Ectocarpus sp.,Algae,sessile,
Egregia menziesii,Egregia menziesii,Egregia menziesii,Egregia menziesii,Egregia menziesii,Algae,sessile,
Elachista fucicola,Elachista fucicola,Elachista fucicola,Elachista fucicola,Elachista fucicola,Algae,sessile,
Endocladia muricata,Endocladia muricata,Endocladia muricata,Endocladia muricata,Endocladia muricata,Algae,sessile,
Erythrotrichia carnea,Erythrotrichia carnea,Erythrotrichia carnea,Erythrotrichia carnea,Erythrotrichia carnea,Algae,sessile,
Farlowia mollis,Farlowia mollis,Farlowia mollis,Farlowia mollis,Farlowia mollis,Algae,sessile,
Fauchea sp.,Fauchea sp.,Fauchea sp.,Fauchea sp.,Fauchea sp.,Algae,sessile,
Feather duster worm,Feather duster worm,Feather duster worm,Tube worms,Tube worms,Animal,sessile,
Feldmannia irregularis,Feldmannia irregularis,Feldmannia irregularis,Feldmannia irregularis,Feldmannia irregularis,Algae,sessile,
Fish,Fish,Fish,Fish,Fish,Animal,motile,
Flustralidra,Flustralidra,Flustralidra,Flustralidra,Flustralidra,Animal,sessile,
Frederikia sp.,Frederikia sp.,Frederikia sp.,Frederikia sp.,Frederikia sp.,Algae,sessile,
Fucus distichus,Fucus distichus,Fucus distichus,Fucus distichus,Fucus distichus,Algae,sessile,
Gammaridae,Gammaridae,Gammaridae,Gammaridae,Gammaridae,Animal,motile,
Gelidium sp.,Gelidium sp.,Gelidium sp.,Gelidium sp.,Gelidium sp.,Algae,sessile,
Gloiopeltis furcata,Gloiopeltis furcata,Gloiopeltis furcata,Gloiopeltis furcata,Gloiopeltis furcata,Algae,sessile,
Gobiesox,Gobiesox,Gobiesox,Gobiesox,Gobiesox,Animal,motile,
Gracilaria pacifica,Gracilaria pacifica,Gracilaria pacifica,Gracilaria pacifica,Gracilaria pacifica,Algae,sessile,
Halichondria,Halichondria,Halichondria,Halichondria,Halichondria,Animal,sessile,
Halichondria panicea,Halichondria panicea,Halichondria,Halichondria,Halichondria,Animal,sessile,
Haliclona,Haliclona,Haliclona,Haliclona,Haliclona,Animal,sessile,
Halosaccion glandiforme,Halosaccion glandiforme,Halosaccion glandiforme,Halosaccion glandiforme,Halosaccion glandiforme,Algae,sessile,
Haplogaster sp.,Haplogaster sp.,Haplogaster sp.,Haplogaster sp.,Haplogaster sp.,Animal,motile,
Hemigrapsis sp.,Hemigrapsis sp.,Hemigrapsis sp.,Hemigrapsis sp.,Hemigrapsis sp.,Animal,motile,
Henricia,Henricia,Henricia,Henricia,Henricia,Animal,motile,
Herposiphonia plumula,Herposiphonia plumula,Herposiphonia plumula,Herposiphonia plumula,Herposiphonia plumula,Algae,sessile,
Hildenbrandia occidentalis,Hildenbrandia occidentalis,Hildenbrandia,Hildenbrandia,Hildenbrandia,Algae,sessile,
Hildenbrandia rubra,Hildenbrandia rubra,Hildenbrandia,Hildenbrandia,Hildenbrandia,Algae,sessile,
Hildenbrandia sp.,Hildenbrandia sp.,Hildenbrandia,Hildenbrandia,Hildenbrandia,Algae,sessile,
Hollenbergia subulata,Hollenbergia subulata,Hollenbergia subulata,Hollenbergia subulata,Hollenbergia subulata,Algae,sessile,
Hydroid,Hydroid,Hydroid,Hydroid,Hydroid,Animal,sessile,
Hymenena setchellii,Hymenena setchellii,Hymenena,Hymenena,Hymenena,Algae,sessile,
Hymenena sp.,Hymenena sp.,Hymenena,Hymenena,Hymenena,Algae,sessile,
Isopoda,Isopoda,Isopoda,Isopoda,Isopoda,Animal,motile,
Jingle,Jingle,Jingle,Jingle,Jingle,Animal,sessile,
Johansenia macmillanii,Johansenia macmillanii,Johansenia macmillanii,Johansenia macmillanii,Johansenia macmillanii,Algae,sessile,
Katharina tunicata,Katharina tunicata,Katharina tunicata,Katharina tunicata,Katharina tunicata,Animal,motile,
Kornmannia leptoderma,Kornmannia leptoderma,Kornmannia leptoderma,Kornmannia leptoderma,Kornmannia leptoderma,Algae,sessile,
Lacuna sp.,Lacuna sp.,Lacuna sp.,Lacuna sp.,Lacuna sp.,Animal,motile,
Laminaria setchellii,Laminaria setchellii,Laminaria setchellii,Laminaria setchellii,Laminaria setchellii,Algae,sessile,
