Fidelity ,FB,MC,NB,WB, SUM,,Top 20 Faithful Species per Community >33%,,,,,,,,,Acr_sp,Acrochaetium sp.,Red
Pti_ten,25%,0%,13%,63%,16,,,,,,,,,,,Mas_sp,Mastocarpus sp.,Red
Sac_lat,0%,63%,0%,38%,16,,,,,,,,,,,Maz_ore,Mazzaella oregona,Red
Cor_sp,13%,0%,60%,27%,15,,,,,,,,,,,Maz_park,Mazzaella parksii,Red
Cru_mur,33%,0%,53%,13%,15,,,,,,,,,,,Maz_parv,Mazzaella parvula,Red
Sal_fir,33%,0%,67%,0%,15,,,,,,,,,,,Maz_spl,Mazzaella splendens,Red
Bos_hak,29%,0%,57%,14%,14,,,,,,,,,,,Mel_int,Melanosiphon intestinalis,Brown 
Cor_off,36%,0%,57%,7%,14,,,,,,,,,,,Mel_med,Melobesia mediocris,Coralline
Mon_gre,0%,79%,0%,21%,14,,,,,,,,,,,Mes_van,Mesophyllum vancouveriense,Red
Peyss,14%,0%,86%,0%,14,,,,,,,,,,,Mic_bor,Microcladia borealis,Red
Pyr_fal,21%,7%,64%,7%,14,,,,,,,,,,,Mon_gre,Monostroma grevillei,Green 
Acro,39%,28%,22%,11%,13,,,,,,,,,,,Nem_hel,Nemalion helminthoides,Red
Col_bul,31%,0%,31%,38%,13,,,,,,,,,,,Neo_bor,Neodilsea borealis,Red
Sph_rig,0%,69%,0%,31%,13,,,,,,,,,,,Neo_sub,Neogastroclonium subarticulatum,Red
Ect_com,0%,0%,100%,0%,12,,,,,,,,,,,Neo_rec,Neopolyporolithon reclinatum,Red
Pyl_lit,42%,17%,33%,8%,12,,,,,,,,,,,Neo_acu,Neorhodomela aculeata,Red
Lam_yez,9%,0%,55%,36%,11,,,,,,,,,,,Neo_lar,Neorhodomela larix,Red
Ahn_fas,40%,0%,10%,50%,10,,,,,,,,,,,Neo_ore,Neorhodomela oregona,Red
Ant_pac,30%,0%,30%,40%,10,,,,,,,,,,,Ner_lue,Nereocystis luetkeana,Kelp 
Chi_rho,0%,0%,100%,0%,10,,,,,,,,,,,Nit_dot,Nitophyllum dotyi,Red
Chi_sil,10%,0%,80%,10%,10,,,,,,,,,,,Odo_flo,Odonthalia floccosa,Red
Des_lig,20%,10%,50%,20%,10,,,,,,,,,,,Odo_flo_com,Odonthalia floccosa f. comosa,Red
Maz_park,80%,0%,20%,0%,10,,,,,,,,,,,Opu_cal,Opuntiella californica,Red
Pet_fas,80%,10%,10%,0%,10,,,,,,,,,,,Osm_spe,Osmundea spectabilis,Red
Pol_sp,60%,0%,10%,30%,10,,,,,,,,,,,Pal_hec,Palmaria hecatensis,Red
Bos_pul,56%,0%,44%,0%,9,,,,,,,,,,,Pal_mol,Palmaria mollis,Red
Cum_dec,44%,0%,0%,56%,9,,,,,,,,,,,Pet_fas,Petalonia fascia,Brown 
Lam_set,33%,0%,56%,11%,9,,,,,,,,,,,Petro,Petrocelis,Red
Ant_def,75%,0%,13%,13%,8,,,,,,,,,,,Peyss,Peyssonnelia sp.,Red
Bos_cal,13%,0%,88%,0%,8,,,,,,,,,,,Phy_fim,Phycodrys fimbriata,Red
Lit_sp,25%,0%,63%,13%,8,,,,,,,,,,,Phy_sco,Phyllospadix scouleri,Plant
Pyr_sp,0%,0%,50%,50%,8,,,,,,,,,,,Phy_ser,Phyllospadix serrulatus,Plant
red_crust,0%,0%,25%,75%,8,,,,,,,,,,,Ple_van,Pleonosporium vancouverianum,Red
Ery_car,0%,57%,29%,14%,7,,,,,,,,,,,Plo_pac,Plocamium pacificum,Red
Hol_sub,0%,100%,0%,0%,7,,,,,,,,,,,Plo_vio,Plocamium violaceum,Red
Mas_sp,57%,0%,43%,0%,7,,,,,,,,,,,Pol_lat,Polyneura latissima,Red
Neo_ore,29%,0%,0%,71%,7,,,,,,,,,,,Pol_hen_gar,Polysiphonia hendryi var. garderi,Red
Ral_pac,0%,86%,0%,14%,7,,,,,,,,,,,Pol_hen_hen,Polysiphonia hendryi var. hendryi,Red
Rho_pur,0%,0%,14%,86%,7,,,,,,,,,,,Pol_hen_lux,Polysiphonia hendryi var. luxuriens,Red
Bos_man,17%,0%,67%,17%,6,,,,,,,,,,,Pol_pac,Polysiphonia pacifica ,Red
Con_sub,0%,100%,0%,0%,6,,,,,,,,,,,Pol_pac_del,Polysiphonia pacifica var delicatula,Red
Diatom,67%,17%,17%,0%,6,,,,,,,,,,,Pol_pan,Polysiphonia paniculata,Red
Glo_lac,0%,0%,100%,0%,6,,,,,,,,,,,Pol_sp,Polysiphonia sp.,Red
Joh_mac,17%,0%,83%,0%,6,,,,,,,,,,,Pol_str_sen,Polysiphonia stricta / senticulosa,Red
Mac_pyr,0%,100%,0%,0%,6,,,,,,,,,,,Pri_ste,Prionitis sternbergii,Red
Nit_dot,33%,0%,67%,0%,6,,,,,,,,,,,Pse_whi,Pseudolithophyllum whidbeyense,Coralline
Pol_pac,17%,0%,33%,50%,6,,,,,,,,,,,Pte_cal_1,Pterocladiella caloglossoides,Red
Rhi_tor,33%,33%,33%,0%,6,,,,,,,,,,,Pte_bip,Pterosiphonia bipinnata,Red
Smi_nai,0%,0%,33%,67%,6,,,,,,,,,,,Pte_den,Pterosiphonia dendroidea,Red
Ulv_int,0%,0%,0%,100%,6,,,,,,,,,,,Pte_gra,Pterosiphonia gracilis,Red
