Alaria.marginata,Anemone,Barnacles,Bossiella_articulate,Callithamnion.pikeanum,Ceramium.pacificum,Chamberlainium.tumidum,Cladophora.columbiana,Corallina,coralline.crust,Cryptosiphonia.woodii,Dilsea.californica,Egregia.menziesii,Elachista.fucicola,Endocladia.muricata,Farlowia.mollis,Fucus.distichus,Gloiopeltis.furcata,Halosaccion.glandiforme,Hedophyllum.sessile,Hildenbrandia,Hymenena.spp.,Leathesia.marina,Lithothamnion.phymatodeum,Mastocarpus,Mazzaella.oregona,Mazzaella.parvula,Mazzaella.splendens,Microcladia.borealis,Mytilus.sp.,Neogastroclonium.subarticulatum,Neopolyporolithon.reclinatum,Neorhodomela.larix,Odonthalia.floccosa,Palmaria.hecatensis,Petrocelis,Phyllospadix.spp.,Plocamium.violaceum,Polyneura.latissima,Polysiphonia,Prionitis,Ptilota.filicina,Pyropia,Ralfsioid,Savoiea.robusta,Ulva
0,0,0,2,5,1,0,1,0,2,5,4,0,0,0,0,0,0,0,0,1,1,1,0,2,4,0,4,2,0,0,0,71,3,0,0,1,0,2,0,0,14,0,5,0,0
0,0,1,1,1,0,0,0,0,4,5,5,0,0,0,0,0,0,1,0,1,3,0,0,0,14,0,38,4,0,0,0,3,1,0,0,27,4,2,0,0,14,0,0,0,0
0,0,1,1,2,0,2,0,1,1,8,1,0,0,0,1,0,0,1,0,1,3,1,0,1,0,1,7,4,0,0,0,18,0,0,0,27,0,1,0,0,18,0,1,1,1
7,5,0,0,1,0,5,0,0,0,7,5,0,0,0,0,0,0,0,0,9,0,1,0,2,7,0,3,7,0,0,0,9,1,0,1,3,6,2,5,0,2,28,0,0,2
6,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,6,1,0,0,0,11,0,0,0
14,3,0,2,0,0,2,0,0,6,0,0,0,0,0,0,0,0,1,0,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,33,2,0,0,0,0,0,0,0
19,2,1,1,1,0,12,0,1,0,0,0,0,0,0,0,0,0,1,0,4,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,34,1,0,0,0,12,0,0,0
0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,6,0,0,0,0,10,0,0,0,90,0,0,0,0,30,0,1,0,1
30,0,0,4,3,0,5,0,4,0,0,1,0,0,0,0,0,0,1,0,12,6,0,0,2,0,0,0,7,0,0,0,0,1,0,0,0,4,0,3,0,0,25,0,0,0
0,0,1,2,5,1,1,0,1,2,1,2,0,0,0,2,0,0,1,0,1,1,1,1,1,0,1,4,3,0,0,0,44,3,0,0,7,0,0,1,0,9,0,0,0,1
0,1,0,2,1,0,0,0,1,8,16,7,0,0,0,0,0,0,0,0,4,0,0,0,1,3,0,39,3,0,0,0,5,3,0,0,56,0,5,0,0,14,1,0,0,0
0,1,0,1,3,0,0,0,2,0,5,4,0,0,13,1,0,0,1,0,6,0,1,0,4,0,0,8,18,0,0,0,6,4,0,0,5,6,2,2,0,1,10,0,0,1
47,2,0,1,1,0,8,0,0,1,0,0,0,0,0,0,0,0,1,0,8,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,14,7,0,0,0,9,0,1,1
2,1,0,4,1,0,6,0,8,4,1,0,0,0,0,0,0,0,0,0,16,0,1,0,1,0,0,5,5,0,0,0,0,1,0,2,0,32,2,0,0,0,32,0,0,0
52,1,0,2,0,0,14,0,9,2,0,0,0,0,0,0,0,0,0,1,16,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,0,20,0,0,1
1,3,0,1,1,0,6,0,1,0,0,0,0,0,5,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,78,0,0,0
20,2,0,2,2,0,10,0,2,0,0,0,0,0,0,0,0,0,1,0,35,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,5,0,0,0,0,40,0,0,0
0,3,9,0,1,0,9,0,1,0,3,0,0,0,40,0,8,0,3,0,19,0,0,0,0,6,0,0,1,0,0,0,2,0,0,2,0,6,0,0,0,0,5,0,0,0
0,5,30,2,0,0,4,2,20,0,0,0,0,0,8,0,26,0,15,0,20,0,0,0,0,3,0,0,0,0,0,2,0,0,0,1,5,0,0,0,0,0,0,0,0,1
13,0,30,0,2,0,4,0,5,0,0,0,0,0,6,0,70,0,4,0,70,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
35,0,15,0,0,0,6,0,0,0,2,0,0,0,12,0,50,0,2,0,45,0,0,0,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1
25,2,0,0,2,0,18,0,15,0,2,0,0,0,8,0,8,0,18,0,40,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1
5,1,23,0,1,0,10,0,0,0,0,0,0,0,30,0,45,1,2,0,10,0,0,0,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
28,2,3,2,1,0,22,0,12,0,0,1,0,1,5,0,30,0,9,0,50,0,0,0,6,16,0,0,1,0,0,1,0,0,0,2,0,5,1,0,0,0,3,0,0,2
0,0,4,0,4,0,6,0,1,0,0,0,0,0,25,0,9,0,0,0,10,0,0,0,0,5,0,0,0,0,0,0,0,0,0,36,0,3,0,0,0,0,19,0,0,0
0,5,3,0,2,0,2,0,1,0,0,0,0,0,58,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,10,0,0,0,0,10,0,0,0
53,2,10,1,0,1,0,0,6,0,0,0,0,20,0,23,0,1,5,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,5,0,4,0,17,0,1,0,0,0
1,1,8,0,0,0,0,0,4,0,0,0,0,51,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,6,0,0,0,0,0
48,2,12,1,0,1,0,0,22,0,0,0,0,0,0,3,0,1,5,0,0,6,0,0,2,0,0,3,0,0,0,0,0,0,0,0,7,0,0,0,7,3,1,0,0,0
1,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,50,0,1,0,5,0,0,0,4,1,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,8,0,0,1
75,0,0,3,1,0,6,0,15,0,2,0,0,0,3,0,10,0,1,0,10,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,50,1,0,0,0,2,1,0,2
7,0,0,0,0,0,12,0,1,0,0,0,0,0,25,0,18,0,0,0,13,0,0,0,3,8,0,0,1,0,0,0,0,0,0,25,0,20,0,0,0,0,20,0,0,1
2,0,0,0,1,0,18,1,2,0,0,0,0,3,3,0,45,0,2,0,40,0,0,0,3,2,0,0,1,0,0,0,0,0,0,7,0,1,0,2,0,0,9,0,0,2
2,1,11,0,0,0,0,0,1,0,0,0,1,2,0,4,0,3,24,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,15,0,0,0,20,0,2,0,0,1
25,2,9,1,0,1,0,0,3,0,0,0,0,26,0,2,0,1,19,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,20,0,0,0,18,0,1,0,0,1
28,0,0,1,0,0,16,1,15,1,0,0,0,0,0,0,6,0,4,0,30,1,2,1,1,1,0,0,3,0,0,0,0,0,0,4,0,14,0,0,0,0,16,0,0,3
1,7,0,0,0,0,7,0,6,0,2,0,0,0,7,0,11,0,1,0,5,0,1,0,0,1,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,2
0,1,2,0,0,0,5,0,4,0,0,0,0,0,10,0,0,0,1,0,8,0,1,0,3,0,0,0,2,0,0,0,0,0,0,1,0,14,0,0,0,0,65,0,0,1
3,3,0,0,0,0,3,0,11,1,6,3,0,0,0,0,16,0,9,2,1,0,15,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,7
1,2,0,0,0,0,1,1,2,0,10,5,0,0,2,0,3,0,1,0,2,1,0,0,1,4,0,0,1,0,0,0,16,0,0,1,0,0,0,0,0,5,11,0,0,2
1,4,2,0,0,0,9,1,18,0,0,0,0,0,13,0,0,0,1,0,8,0,3,0,0,0,0,0,1,0,0,0,0,0,0,2,24,0,0,0,0,0,3,0,0,2
0,1,1,0,0,0,19,0,0,0,0,0,0,0,2,0,10,1,1,0,30,0,1,0,1,0,0,0,0,0,0,0,0,0,0,11,0,4,0,0,0,0,7,0,2,1
0,2,1,3,0,0,8,0,13,0,1,0,0,0,2,0,5,0,2,9,13,0,2,3,1,0,0,1,3,0,0,1,0,0,0,4,1,18,0,1,1,0,1,2,0,3
6,3,0,0,1,0,18,0,12,0,1,0,0,0,15,0,18,0,4,0,17,0,4,0,2,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,3,0,1,2
0,8,1,0,0,0,19,0,4,0,0,0,0,0,6,0,20,0,6,0,36,0,0,0,5,14,1,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,15,0,0,2
0,6,1,5,0,1,8,0,0,0,0,0,0,0,0,0,0,0,1,0,16,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,16,0,0,0,0,28,0,0,0
