"","source","taxon","rank","hmsc","taxon_lumped2","non.alga.flag","kelp_fucoid_turf","littler_groups","new_cat","new_cat_simple1","new_cat_simple2","new_cat_simple3","funct_Sep2020","flag"
"115","all","Ceramium.codicola",115,NA,"Ceramium codicola","Algae","filament","filament","red turf","red turf","turf","turf","thin_turf",NA
"116","all","Ectocarpus.sp.",115,NA,"Ectocarpus sp.","Algae","filament","filament","filament","filament","filament","filament","thin_turf",NA
"117","all","Mesophyllum.vancouveriense",115,NA,"Mesophyllum vancouveriense","Algae","crustose coralline","crustose","crustose coralline","crustose coralline","crustose coralline","crustose coralline","crust",NA
"118","all","Pterygophora.californica",115,NA,"Pterygophora californica","Algae","Kelp","thick leathery","Kelp","Kelp","Kelp","Kelp","large_brown",NA
"119","all","Symphyocladiella.dendroidea",115,NA,"Symphyocladiella dendroidea","Algae",NA,NA,NA,NA,NA,NA,NA,NA
"120","all","Chiharaea.bodegensis",120,NA,"Chiharaea bodegensis","Algae","articulated coralline","jointed calcareous","articulated coralline","articulated coralline","articulated coralline","articulated coralline","turf",NA
"121","all","Dactylosiphon.bullosus",120,NA,"Dactylosiphon bullosus","Algae",NA,NA,NA,NA,NA,NA,NA,NA
"122","all","Desmarestia.herbacea",120,NA,"Desmarestia herbacea","Algae",NA,NA,NA,NA,NA,NA,NA,NA
"123","all","Ectocarpus.siliculosus",120,NA,"Ectocarpus siliculosus","Algae","filament","filament","filament","filament","filament","filament","thin_turf",NA
"124","all","Fauchea.sp.",120,NA,"Fauchea sp.","Algae","red turf","sheet","red blade","blade","red blade","blade","turf",NA
"125","all","Kornmannia.leptoderma",120,NA,"Kornmannia leptoderma","Algae","blade","sheet","green blade","blade","green blade","blade","blade",NA
"126","all","Petalonia.fascia",120,NA,"Petalonia fascia","Algae","brown turf","sheet","brown turf","brown turf","turf","turf","turf","could also be blade"
"127","all","Phycodrys.sp.",120,NA,"Phycodrys sp.","Algae","red turf","finely branching","red turf","red turf","turf","turf","turf",NA
"128","all","Pugetia.firma",120,NA,"Pugetia firma","Algae","blade","thick leathery","red blade","blade","red blade","blade","blade",NA
"129","all","Rhodymenia.sp.",120,NA,"Rhodymenia sp.","Algae","red turf","finely branching","red turf","red turf","turf","turf","turf",NA
"130","all","Tiffaniella.snyderae",120,NA,"Tiffaniella snyderae","Algae","filament","filament","filament","filament","filament","filament","thin_turf",NA
"131","all","Ulothrix-Urospora.sp.",120,NA,"Ulothrix-Urospora sp.","Algae","filament","filament","filament","filament","filament","filament","thin_turf",NA
