taxon,taxon_corrected,lumping_notes,taxon_lumped,non-alga flag,motile_sessile,Notes
Neorhodomela larix,Neorhodomela larix,,Neorhodomela larix,Algae,sessile,
Neorhodomela oregona,Neorhodomela oregona,,Neorhodomela oregona,Algae,sessile,
Neorhodomela oregona?,Neorhodomela oregona,,Neorhodomela oregona,Algae,sessile,
Nereid worm,Nereid,,Nereid,Animal,motile,
Nereocystis luetkeana,Nereocystis luetkeana,,Nereocystis luetkeana,Algae,sessile,
Nucella lamellosa,Nucella lamellosa,Nucella,Nucella,Animal,motile,
Nucella,Nucella sp.,Nucella,Nucella,Animal,motile,
Nucella sp.,Nucella sp.,Nucella,Nucella,Animal,motile,
Nudibranch,Nudipleura,,Nudipleura,Animal,motile,
Odonthalia floccosa,Odonthalia floccosa,,Odonthalia floccosa,Algae,sessile,These are distinct
Odonthalia floccosa f. comosa,Odonthalia floccosa f. comosa,,Odonthalia floccosa f. comosa,Algae,sessile,These are distinct
Onchidella borealis,Onchidella borealis,Onchidella,Onchidella,Animal,motile,
Onchidella,Onchidella sp.,Onchidella,Onchidella,Animal,motile,
Opuntiella californica,Opuntiella californica,,Opuntiella californica,Algae,sessile,
Osmundea spectabilis,Osmundea spectabilis,,Osmundea spectabilis,Algae,sessile,
Hermit crabs,Pagarus sp.,,Pagarus sp.,Animal,motile,
Pagurus,Pagarus sp.,,Pagarus sp.,Animal,motile,
Pagurus spp,Pagarus sp.,,Pagarus sp.,Animal,motile,
Pagurus spp.,Pagarus sp.,,Pagarus sp.,Animal,motile,
Palmaria hecatensis,Palmaria hecatensis,,Palmaria hecatensis,Algae,sessile,
Palmaria mollis,Palmaria mollis,,Palmaria mollis,Algae,sessile,
Idotea,Pentidotea sp.,,Pentidotea sp.,Animal,motile,
Pentidotea,Pentidotea sp.,,Pentidotea sp.,Animal,motile,
Petalonia,Petalonia fascia,,Petalonia fascia,Algae,sessile,
Petalonia fascia,Petalonia fascia,,Petalonia fascia,Algae,sessile,
Petrocelis,Petrocelis,,Petrocelis,Algae,sessile,
Petrocelis thick,Petrocelis,,Petrocelis,Algae,sessile,
Petrocelis thin,Petrocelis,,Petrocelis,Algae,sessile,
Peyssonnelia,Peyssonnelia sp.,,Peyssonnelia sp.,Algae,sessile,
Peyssonnelia sp.,Peyssonnelia sp.,,Peyssonnelia sp.,Algae,sessile,
Pholidae,Pholidae,,Pholidae,Animal,motile,
Phycodrys fimbriata ?,Phycodrys sp.,,Phycodrys sp.,Algae,sessile,
Phycodrys?,Phycodrys sp.,,Phycodrys sp.,Algae,sessile,
Phyllospadix scouleri,Phyllospadix scouleri,Phyllospadix sp.,Phyllospadix sp.,Algae,sessile,
Phyllospadix serrulatus,Phyllospadix serrulatus,Phyllospadix sp.,Phyllospadix sp.,Algae,sessile,
Phyllospadix,Phyllospadix sp.,Phyllospadix sp.,Phyllospadix sp.,Algae,sessile,TRY TO FIGURE OUT FROM LOCATION
Pisaster,Pisaster ochraceus,,Pisaster ochraceus,Animal,motile,
Pisaster ochraceous,Pisaster ochraceus,,Pisaster ochraceus,Animal,motile,
Pisaster ochraceus,Pisaster ochraceus,,Pisaster ochraceus,Animal,motile,
Pisaster or similar sea star,Pisaster ochraceus,,Pisaster ochraceus,Animal,motile,
